Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
,"Dublin, L, IE","Dublin, L, IE",01/01/2013,45,36.5,40.5,29.2,,,,13,,28.7,84.47,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",01/02/2013,52.9,43.9,49.9,39.3,,0.1,,15.1,,63,93.22,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",01/03/2013,54.1,50.5,51.7,,,,,12.3,,55.2,90.82,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",01/04/2013,51.1,45.8,49.4,43.8,,,,16.4,,65.2,86.87,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",01/05/2013,52.4,46.6,50.1,43,,,,16.1,,47.8,88.55,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",01/06/2013,51.9,45.8,49.9,42,,,,16,,55.5,90.99,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",01/07/2013,53.1,49.3,51.2,44.3,,0.3,,17.7,,59.1,93.19,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",01/08/2013,53.2,35.2,46.4,32.4,,0.1,,14.4,,27.3,90.21,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",01/09/2013,42.7,29.5,35.1,26.8,,,,7.3,,17.2,94.3,Clear
,"Dublin, L, IE","Dublin, L, IE",01/10/2013,47.9,36,40.8,30.6,,,,13.7,,31.7,88.5,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",01/11/2013,47.9,33.9,40.7,27.6,,,,11.9,,27.1,91.14,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",01/12/2013,45,33.6,41.4,30.5,,,,14.6,,47.8,87.58,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",01/13/2013,41.3,27.7,34.1,23.8,,0.1,,8.3,,34.8,95.48,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",01/14/2013,44.2,36.5,40.5,29.2,,0.1,,12.9,,32.8,87.08,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",01/15/2013,40.3,30.6,36.1,26.5,,,,11.8,,37.2,89.47,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",01/16/2013,42.7,37.5,40.7,30.2,,0.5,,11.9,,56.2,94.31,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",01/17/2013,47.4,39.9,43.9,36.5,,0.1,,22.4,,55,94,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",01/18/2013,46.5,38.8,42.1,30.5,,0.5,,22.6,,54.8,90.69,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",01/19/2013,39.1,32.4,36.6,28.1,,0.2,,8.1,,57.2,92.38,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",01/20/2013,36,31.4,34.3,26.2,,,,11.4,,78.4,81.58,Overcast
,"Dublin, L, IE","Dublin, L, IE",01/21/2013,38,27.5,33.5,25.2,,,,11,,45.7,87.21,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",01/22/2013,33.3,23.6,27.6,21.2,,,,7.9,,34.5,95.02,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",01/23/2013,37.7,29,33.2,22.3,,,,11.9,,52.2,89.32,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",01/24/2013,40.8,27.5,34.8,23.5,,,,12,,40.6,89.87,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",01/25/2013,47.4,41.1,44.3,34.2,,0.6,,23.2,,55.4,88.61,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",01/26/2013,53.3,37.8,44.8,32.2,,0.3,,23.5,,43.4,88.26,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",01/27/2013,48.3,36.4,40.3,28.2,,0.4,,25.1,40.3,30.9,82.77,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",01/28/2013,51.2,36.4,44.3,27.9,,0.5,,34,62.6,51.6,78.63,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",01/29/2013,56.1,43.3,47.7,37.6,,0.1,,28.2,47,50.2,84.53,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",01/30/2013,46.8,41.4,44.7,35.3,,,,36,62.6,40.7,76.16,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",01/31/2013,47.7,40.6,44,32.2,,0.4,,26.7,60.4,27.5,76.36,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",02/01/2013,45.8,37.7,41.1,30.4,,0.1,,19.8,,40.8,81.83,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",02/02/2013,45.7,34.2,39.1,28.7,,,,10.7,,36.2,82.64,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",02/03/2013,50.2,41.1,47.6,34.5,,0.1,,17.4,,62.7,92.77,"Rain, Partially cloudy"
